text,label
"Allah aşkına, atık konteyneri yanlış yere konmuş kapımızı kapatıyor. Çözülmesini bekliyoruz",Çöp ve Temizlik
"Valla bıktık, kamyonlar haftalardır cadde ortasında çalışır halde bekliyor. Artık bir şey yapın!",Gürültü ve Çevre Kirliliği
Asfalt bir aydır bozuk araba alttan vuruyor.,Yol ve Kaldırım
okulun yanındaki sokaktaaa sorun var; çöpler her hafta toplanmıyor,Çöp ve Temizlik
Bordür taşları çıkmış ayağımız takılıyor,Yol ve Kaldırım
Okulun yanındaki sokakta sorun var; otobüsler uzun süredir saatinde gelmiyor.,Toplu Ulaşım
"Kamyonlar haftalardır cadde ortasında çalışır halde bekliyor, defalarca aradık sonuç yok. Vergimizi ne için veriyoruz?",Gürültü ve Çevre Kirliliği
Site girişinde sorun var; barınağa götürülecek hayvanlar sokakta kalmış,Başıboş Hayvanlar
"Çöpler her gün toplanmıyor, ayrıca çöp konteynerleri ağzına kadar dolmuş taıyor.",Çöp ve Temizlik
"Yahu kar yağınca yollar tuzlanmadı buz tuttu, ayrıca kaldırım o kadar dar ki arabayla geçilmiyor",Yol ve Kaldırım
Moloz dökülen alan toz ve koku saçıyor. Yardımcı olursanız çok seviniriz.,Gürültü ve Çevre Kirliliği
Kamyonlar uzun süredir cadde ortasında çalışır halde bekliyor. Bir an önce ilgilenilsin.,Gürültü ve Çevre Kirliliği
akşam olunca her yer zifiri karanlık.,Sokak Aydınlatması
"Yeter ama, atölye kaç kere söyledik yine makine sesinden uyutmuyor. Vergimizi ne için veriyoruz?",Gürültü ve Çevre Kirliliği
"Bakın, Ana cadde uzerinde sorun var; çöpten dolayı sinek kaynıyor.",Çöp ve Temizlik
Rezalet. moloz dökülen alan toz ve koku saçıyor.,Gürültü ve Çevre Kirliliği
"Yeter ama, aşısız hayvanlar dolaşıyor tehlikeli, ayrıca geceleri havlamalar günlerdir uyutmuyor",Başıboş Hayvanlar
Ana cadde uzerinde sorun var; lağım kokusu aylardır eve doluyor.,Su ve Kanalizasyon
"Pes yani, egzoz ve tozdan pencere açamıyoruz, vergimizi ödüyoruz ama hizmet yok. Vergimizi ne için veriyoruz?",Gürültü ve Çevre Kirliliği
"yahu atölye sabahtan akşama makine sesinden uyutmuyor, böyle olmaz ki. Vergimizi ne için veriyoruz?",Gürültü ve Çevre Kirliliği
"Allah aşkına, Sokağımızda sorun var; parkın çeşmesinden su akmıyor.",Park ve Yeşil Alan
köşedeki bakkalin önünde sorun var; yol çalışması yarım kalmış akşamları öyle duruyor.,Yol ve Kaldırım
Fabrika bacasından duman havayı kirletiyor. Bu kadarına da pes!,Gürültü ve Çevre Kirliliği
"Yeter ama, atık konteyneri yanlış yere konmuş kapımızı kapatıyor. Ne zaman çözeceksiniz?",Çöp ve Temizlik
Ana cadde uzerinde sorun var; park lambaları yanmıyor akşam kullanılmıyor.,Park ve Yeşil Alan
Trafik levhasi devrilmis kimse ilgilenmiyor.,Yol ve Kaldırım
Caddemizde sorun var; duragin yanında lamba patlamış aylardır değişen yok,Sokak Aydınlatması
"Yeter ama, çöp konteynerleri ağzına kadar dolmuş taşıyor, defalarca aradık sonuç yok. Bir an önce ilgilenilsin.",Çöp ve Temizlik
Alt geçidin oraya sorun var; fabrika bacasından duman havayı kirletiyor.,Gürültü ve Çevre Kirliliği
"Of ya, durakta ışık yok gece bekleyemiyoruz, ayrıca sokağın tamamı kapkaranlık bir tane lamba yanmıyor.",Sokak Aydınlatması
Caminin arka sokağında sorun var; asfalt aylardır bozuk araba alttan vuruyor.,Yol ve Kaldırım
"Ya artık yeter, Ara sokakta sorun var; köpekler parkı kirletiyor temizlenmiyor.",Park ve Yeşil Alan
Rezalet. apartmanın önünde aydınlatma olmadığı için tekin değil.,Sokak Aydınlatması
"Yeter ama, moloz ve atiklar aylardir kaldirimda duruyor",Çöp ve Temizlik
Okulun yanındaki sokakta sorun var; barınağa götürülecek hayvanlar sokakta kalmış,Başıboş Hayvanlar
"allah aşkına, elektrik direği yana yatmış ışık da yok, sağlığımız tehlikede. Bir an önce ilgilenilsin.",Sokak Aydınlatması
kısırlaştırma yok hayvan sayısı çok arttı. İlginizi rica ediyorum.,Başıboş Hayvanlar
mahallemizde sorun var; park lambaları yanmıyor akşam kullanılmıyor,Park ve Yeşil Alan
"Yeterrr ama, sokak her gün süpürülmüyor her yer kir, ayrıca pazardan sonra ortalık çöplük oluyor temizleyen yok.",Çöp ve Temizlik
Ölü bir hayvan var günlerdir kaldıran yok. Bu kadaına da pes!,Başıboş Hayvanlar
"düğün salonu geceleri sesi sonuna kadar açıyor, kimse ilgilenmiyor. Şimdiden teşekkürler.",Gürültü ve Çevre Kirliliği
"Park lambaları yanmıyor akşam kullanılmıyor, ayrıca ara sokakta banklar dökülmüş oturulmuyor.",Park ve Yeşil Alan
"allah aşkına, mahallemizde banklar dökülmüş oturulmuyor",Park ve Yeşil Alan
Köpekler parkı kirletiyor temizlenmiyor. Konunun takip edilmesini istiyoruz,Park ve Yeşil Alan
"Allah aşkına, Evimizin tam önünde sorun var; çocuk parkındaki salıncaklar kırık tehlikeli",Park ve Yeşil Alan
"ya artık yeter, kanalizasyon kapağı çökmüş çukur olmuş.",Su ve Kanalizasyon
"atölye uzun süredir makine sesinden uyutmuyor, vergimizi ödüyoruz ama hizmet yok. Konunun takipp edilmesini istiyoruz.",Gürültü ve Çevre Kirliliği
"yağmur suyu giderleri çöpleee dolmuş, kimse umursamıyor. Şimdiden teşekkürler.",Su ve Kanalizasyon
"Biktik artik, gece hatti yok eve donemiyoruz, ayrica caddemizde engelli rampali otobus gelmiyor",Toplu Ulaşım
"of ya, pazar yerinin orada koca bir çöp yığını var, defalarca aradık sonuç yok. Bu kadarına da pes!",Çöp ve Temizlik
kaldırım karanlık düşüp yaralandık,Sokak Aydınlatması
"Allah aşkına, okul yolunda ışık yok çocuklar korkuyor. Bir an önce ilgilenilsin.",Sokak Aydınlatması
"Rezalet. fabrika bacasindan duman havayi kirletiyor, ayrica hali saha gec saatte bile bagiris cagiris.",Gürültü ve Çevre Kirliliği
"YA ARTIK YETER, AŞISIZ HAYVANLAR DOLAŞIYOR TEHLIKELI, AYRICA BIR HAYVAN KAPANA SIKIŞMIŞ KURTARAN LAZIM.",Başıboş Hayvanlar
"Bıktık artık, yeşil alan geceleri sulanmıyor çimler kurudu, böyle olmaz ki. Bir an önce ilgilenilsin.",Park ve Yeşil Alan
"hat iptal olmuş kimse duyurmamış, ayrıca duraktaki bank ve durak kapalısı kırık.",Toplu Ulaşım
Duragin yanında temiz su şebekesi sürekli arızalanıyor,Su ve Kanalizasyon
Atık konteyneri yanlış yere konmuş kapımızı kapatıyor. Acil çözün şunu!,Çöp ve Temizlik
"Yeni direklere isik takilmamis, sagligimiz tehlikede. Ilgili birime iletilmesini rica ederim.",Sokak Aydınlatması
konteyner kırılmış çöpler etrafa saçılıyor. Şimdiden teşekkürler.,Çöp ve Temizlik
Yahu bir hayvan kapanaaa sıkışmış kurtaran lazım.,Başıboş Hayvanlar
"Pes yani, ağaçlar budanmamış dallar sarkıyor. Çözülmesini beklioruz.",Park ve Yeşil Alan
"Yeter ama, ara sokakta kaldırım taşları sökülmüş yürünmüyor, ayrıca kaldırıma park ediyorlar yaya yürüyemiyor.",Yol ve Kaldırım
"Valla biktik, otobus cok eski surekli arizalaniyor, ayrica caminin arka sokaginda yeni mahalleye ulasim yok",Toplu Ulaşım
Kar yağınca yollar tuzlanmadı buz tuttu.,Yol ve Kaldırım
"allah aşkına, oyun grubunun zemini bozuk çocuklar düşüyor, her gün aynı dert. Ne zaman çözeceksiniz?",Park ve Yeşil Alan
Rezalet. Mahallemizde sorun var; çocuk parkındaki salıncaklar kırık tehlikeli.,Park ve Yeşil Alan
duragin yanında temiz su şebekesi sürekli arızalanıyor.,Su ve Kanalizasyon
duragin yaninda sorun var; caddemizde kanalizasyon tasmis pis su akiyor,Su ve Kanalizasyon
"Bakın, köpekler çöpü dağıtıyor ortalık kirleniyor.",Başıboş Hayvanlar
"pes yani, aşısız hayvanlar dolaşıyor tehlikeli. Bir an önce ilgilenilsin",Başıboş Hayvanlar
Evimizin tam onunde sorun var; ana caddenin yarisi karanlik yurumek korkutucu,Sokak Aydınlatması
"Of ya, parkın çeşmesinden su akmıyor.",Park ve Yeşil Alan
"Site girisinde yeniii mahalleye ulasim yok, kimse umursamiyor. Artik bir sey yapin",Toplu Ulaşım
"Bıktık artık, Metro çıkışında sorun var; köşedeki bakkalin önünde kedilere mama su konmuyor",Başıboş Hayvanlar
"Üst geçidin merdivenleri kırık tehlikeli, kimse ilgilenmiyor. Artık bir şey yapın!",Yol ve Kaldırım
"yahu atık konteyneri yanlış yere konmuş kapımızı kapatıyor, ayrıca köpekler çöpü dağıtıyor sabah berbat oluyor.",Çöp ve Temizlik
Mahallemizde aydınlatma olmadığıı için tekin değil.,Sokak Aydınlatması
"Bıktık artık, Caminin arka sokağında sorun var; durakta tabela yok hangi hat geçer belli değil.",Toplu Ulaşım
Metro çıkışında sorun var; otobüsler aylardır saatinde gelmiyor.,Toplu Ulaşım
"Biktik artik, Caddemizde sorun var; cop kamyonu sabahtan aksama mahalleye ugramiyor.",Çöp ve Temizlik
"ya artık yeter, Sokağımızda sorun var; ara soakta kaldırım taşları sökülmüş yürünmüyor.",Yol ve Kaldırım
kaydırak kırılmış paslı çocuk yaralanır. Ne zaman çözeceksiniz?,Park ve Yeşil Alan
"valla biktik, direkteki lamba arizali gece cok tehlikeli, boyle olmaz ki. Ilgili ekip gonderilsin lutfen.",Sokak Aydınlatması
"Ya artık yeter, bir hayvan kapana sıkışmış kurtaran lazım. Çözülmesini bekliyoruz",Başıboş Hayvanlar
Geri dönüşüm kutuları aylardır boşaltılmıyor. İlginizi rica ediyorum.,Çöp ve Temizlik
"bakın, park gece içki içenlerin mekanı oldu, ayrıca kaydırak kırılmış paslı çocuk yaralanır.",Park ve Yeşil Alan
Apartmanın önünde yeşil alana izinsiz inşaat var. İlgili ekip gönderilsin lütfen.,Park ve Yeşil Alan
"valla bıktık, pazar yerinin orada su basıncı çok düşük su gelmiyor.",Su ve Kanalizasyon
Sofor durakta durmadan gecti.,Toplu Ulaşım
"Yeter ama, hayvanlar trafikte tehlike yaratıyor. Bir an önce ilgilenilsin",Başıboş Hayvanlar
okulun yanındaki sokakta banklar dökülmüş oturulmuyor. Gereğinin yapılmasını rica ederim,Park ve Yeşil Alan
Yahu alt geçidin oraya mazgal kapağı yok açık duruyor.,Yol ve Kaldırım
"Bıktık artık, Alt geçidin oraya sorun var; hayvanlar trafikte tehlike yaratıyor.",Başıboş Hayvanlar
Yandaki işyeri akşamları sonuna kadar müzik açıyor.,Gürültü ve Çevre Kirliliği
Düğün salonu her gün sesi sonuna kadar açıyor.,Gürültü ve Çevre Kirliliği
"Ya artık yeter, durakta ışık yok gece bekleyemiyoruz",Sokak Aydınlatması
"Ya artık yeter, çöp kamyonu sabahtan akşama mahalleye uğramıyor, böyle olmaz ki. Ne zaman çözeceksiniz?",Çöp ve Temizlik
"Bakın, sanayi atıkları dereye boşaltılıyor.",Gürültü ve Çevre Kirliliği
"valla bıktık, yeni direklere ışık takılmamı, rezil olduk. İlgili ekip gönderilsin lütfen.",Sokak Aydınlatması
"Ya artık yeter, alt geçidin oraya hurdacılar sabaha karşı gürültü yapıyor.",Gürültü ve Çevre Kirliliği
"of ya, kaydırak kırılmış paslı çocuk yaralanır. Konunun takip edilmesini istiyoruz.",Park ve Yeşil Alan
Sokak hayvanları aç bakan yok.,Başıboş Hayvanlar
"Of ya, akşam olunca her yer zifiri karanlık, vergimizi ödüyoruz ama hizmet yok. Acil çözün şunu!",Sokak Aydınlatması
sokağımızda sorun var; su sayacı arızalı fatura uçtu.,Su ve Kanalizasyon
"yeter ama, çöp konteynerleri ağzına kadar dolmuş taşıyor.",Çöp ve Temizlik
Caminin arka sokağında sorun var; metro çıkışında yeni mahalleye ulaşım yok.,Toplu Ulaşım
"Valla bıktık, engelli rampası yok tekerlekli sandalye geçemiyor.",Yol ve Kaldırım
Egzoz ve tozdan pencere açamıyoruz.,Gürültü ve Çevre Kirliliği
"Yeter ama, bizim mahallede temiz su şebekesi sürekli arızalanıyor, defalarca aradık sonuç yok. Acil çözün şunu!",Su ve Kanalizasyon
Ana cadde uzerinde sorun var; geceleri havlamalar bir aydır uyutmuyor.,Başıboş Hayvanlar
Bodrumu lağım suyu bastı. İlginizi rica ediyorum.,Su ve Kanalizasyon
"olu bir hayvan var gunlerdir kaldiran yok, ayrica asisiz hayvanlar dolasiyor tehlikeli",Başıboş Hayvanlar
"allah aşkına, park lambaları yanmıyor akşam kullanılmıyor, ayrıca çocuk parkındaki salıncaklar kırık tehlikeli.",Park ve Yeşil Alan
"Yeter ama, yağmur suyu giderleri çöple dolmuş, sağlığımız tehlikede. İlgili ekip gönderilsin lütfen.",Su ve Kanalizasyon
yağmur suyuu giderleri çöple dolmuş. İlgili birime iletilmesini rica ederim.,Su ve Kanalizasyon
"Valla bıktık, cocuk parkının yanında yeni mahalleye ulaşım yok, çocuklar etkileniyor. Acil çözün şunu!",Toplu Ulaşım
caddemide kedilere mama su konmuyor.,Başıboş Hayvanlar
Kaldırım karanlık düşüp yaralandık. Vergimizi ne için veriyoruz?,Sokak Aydınlatması
"Pes yani, park lambaları yanmıyor akşam kullanılmıyor.",Park ve Yeşil Alan
Rezalet. durakta tabela yok hangi hat geçer belli değil. Artık bir şey yapın!,Toplu Ulaşım
Rezalet. her yağmurda ev su basıyor gider tıkalı.,Su ve Kanalizasyon
"Valla bıktık, sokağımızda aydınlatma olmadığı için tekin değil, ayrıca akşam olunca her yer zifiri karanlık.",Sokak Aydınlatması
pazar yerinin orada yeni mahalleye ulaşım yok.,Toplu Ulaşım
Rezalet. Apartmanin onunde sorun var; moloz ve atiklar surekli kaldirimda duruyor,Çöp ve Temizlik
"of ya, Köşedeki bakkalin önünde sorun var; tuvalet geri tepiyor kanalizasyon dolu",Su ve Kanalizasyon
Yandaki işyeri her hafta sonuna kadarr müzik açıyor.,Gürültü ve Çevre Kirliliği
yahu agaclar budanmamis dallar sarkiyor.,Park ve Yeşil Alan
Kafelerin masaları geceleri çok gürültülü.,Gürültü ve Çevre Kirliliği
Yağmur suyu giderleri çöple dolmuş. Gereğinin yapılmasını ria ederim.,Su ve Kanalizasyon
"Spor aletleri bozulmuş kimse tamir etmiyor, sağlığımız tehlikede. Bir an önce ilgilenilsin.",Park ve Yeşil Alan
"Allah aşkına, metro çıkışında parka tuvalet yok çok lazım, ayrıca ar sokakta yeşil alana izinsiz inşaat var.",Park ve Yeşil Alan
Gece hatti yok eve donemiyoruz.,Toplu Ulaşım
"Pes yani, Duragin yanında sorun var; köpekler çöpü dağıtıyor ortalık kirleniyor.",Başıboş Hayvanlar
"pes yani, bir hayvan kapana sikismiss kurtaran lazim.",Başıboş Hayvanlar
yeni direklere ışık tkılmamış,Sokak Aydınlatması
Yaya geçidi silinmiş hiç görünmüyor. Gereğinin yapılmasını rica ederim.,Yol ve Kaldırım
Park aydınlatması bozuk çocuklar oynayamıyor. Bir an önce ilgilenilsin.,Sokak Aydınlatması
Apartmanın önünde durağa otobüs hiç uğramıyor.,Toplu Ulaşım
"Bakın, sokak çeşmesi boşuna akıyor su israf oluyor, böyle olmaz ki. Bu kadarına da pes!",Su ve Kanalizasyon
"Allah aşkına, engelli rampası yok tekerlekli sandalye geçemiyor.",Yol ve Kaldırım
rogar tikanmis yagmur suyu cekilmiyor.,Su ve Kanalizasyon
üst geçidin merdivenleri kırık tehlikeli. Şimdiden teşekkürler.,Yol ve Kaldırım
Yahu sanayi atıkları dereye boşaltılıyor. Çözülmesini bekliyoruz.,Gürültü ve Çevre Kirliliği
"Allah aşkına, çöpten dolayı sinek kaynıyor, her gün aynı dert. Çözülmesini bekliyoruz.",Çöp ve Temizlik
Kısırlaştırma yok hayvan sayısı çok arttı.,Başıboş Hayvanlar
rezalet. atölye akşamları makine sesinden uyutmuyor. İlgili ekip gönderilsin lütfen.,Gürültü ve Çevre Kirliliği
"Her yağmurda evi su basıyor gider tıkalı, ayrıca musluktan bulanık su geliyor kötü kokuyor.",Su ve Kanalizasyon
"Bıktık artık, Metro çıkışında sorun var; kamyonlar sürekli cadde ortasında çalışır halde bekliyor.",Gürültü ve Çevre Kirliliği
"Rezalet. yaya geçidi slinmiş hiç görünmüyor, sağlığımız tehlikede. İlgili ekip gönderilsin lütfen.",Yol ve Kaldırım
Lağım kokusu aylardır eve doluyor,Su ve Kanalizasyon
Yahu Alt geçidin orayaa sorun var; su saycı arızalı fatura uçtu.,Su ve Kanalizasyon
Her yağmurda evi su basıyor gider tıkalı.,Su ve Kanalizasyon
Köşedeki bakkalin önünde sorun var; lağım kokusu geceleri eve doluyor,Su ve Kanalizasyon
"Allah aşkına, park aydınlatması bozuk çocuklar oynayamıyor, yaşanmıyor artık. İlgili ekip gönderilsin lütfen.",Sokak Aydınlatması
"Pes yani, kar yağınca yollar tuzlanmadı buz tuttu",Yol ve Kaldırım
Yahu alt geçidin oraya engelli rampalı otobüs gelmiyor.,Toplu Ulaşım
Caddemizde soru var; otobüs seferleri akşam çok seyrek.,Toplu Ulaşım
mahallemizde yeni mahalleye ulaşım yok.,Toplu Ulaşım
Çitler kırık park sokağa açılmış tehlikeli,Park ve Yeşil Alan
"Bıktık artık, otobüs çok eski sürekli arızalanıyor.",Toplu Ulaşım
"ya artik yeter, okulun yanindaki sokakta parka tuvalet yok cok lazim, ayrica park lambalari yanmiyor aksam kullanilmiyor.",Park ve Yeşil Alan
Bordür taşları çıkmış ayağımız takılıyor. Gereğinin yapılmasını rica ederim,Yol ve Kaldırım
"Otobüsler akşamları saatinde gelmiyor, ayrıca duraktakii bank ve durak kapalısı kırık.",Toplu Ulaşım
sokağımızda sorun var; çöp konteynerleri ağzına kadar dolmuş taşıyor.,Çöp ve Temizlik
"Of ya, yaya geçidi silinmiş hiç görünmüyor. Çözülmesini bekliyoruz.",Yol ve Kaldırım
Caddemizde sorun var; yeşil alan her hafta sulanmıyor çimler kurudu,Park ve Yeşil Alan
Apartmanın önünde sorun var; park aydınlatması bozukkk çocuklar oynayamıyor.,Sokak Aydınlatması
caddemizde sorun var; su sayacı arızalı fatura uçtu.,Su ve Kanalizasyon
çöpten dolayı sinek kaynıyor. İlginizi rica ediyorum.,Çöp ve Temizlik
"Yeşil alan akşamları sulanmıyor çimler kurudu, defalarca aradık sonuç yok. İlginizi rica ediyorum.",Park ve Yeşil Alan
"of ya, su borusu patlamış cadde sular altında, ayrıca su haftaardır kesik haberrr bile vermiyorlar",Su ve Kanalizasyon
"Ya artık yeter, Evimizin tam önünde sorun var; pazar yerinin orada başıboş köpekler aylardır korku saçıyor",Başıboş Hayvanlar
"bakin, mahallemizde sokak lambalari aylardir yanmiyor.",Sokak Aydınlatması
sokak surekli supurulmuyor her yer kir.,Çöp ve Temizlik
"Musluktan bulanik su geliyor kotu kokuyor, vergimizi oduyoruz ama hizmet yok. Cozulmesini bekliyoruz.",Su ve Kanalizasyon
"Su günlerdir kesik haber bile vermiyorlar, çocuklar etkileniyor. Çözülmesini bekliyoruz.",Su ve Kanalizasyon
"Bıktık artık, kafelerin masaları geceleri çok gürültülü, rezil olduk. Artık bir şey yapın!",Gürültü ve Çevre Kirliliği
"ara sokakta temiz su şebekesi sürekli arızalanıyor, ayrıca rögar tıkanmış yağmur suyu çekilmiyor.",Su ve Kanalizasyon
"Egzoz ve tozdan pencere açamıyoruz, ayrıca halı saha geç saatte bile bağırış çağırış",Gürültü ve Çevre Kirliliği
APARTMANIN ÖNÜNDE INŞAAT SABAHTAN AKŞAMAAA GECE GEÇ SAATE KADAR ÇALIŞIYOR. İLGINIZI RICA EDIYORUM.,Gürültü ve Çevre Kirliliği
"Duragin yanında lamba patlamış aylardır değişen yok, ayrıca okulun yanındaki sokakta aydınlatma olmadığı için tekin değil.",Sokak Aydınlatması
Gece hattı yok eve dönemiyoruz. Yardımcı olursanız çok seviniriz.,Toplu Ulaşım
"Otobüsler bir aydır saatinde gelmiyor, sağlığımız tehlikede. Konunun takip edilmesini istiyoruz",Toplu Ulaşım
Ağaçlar budanmamış dallar sarkıyor.,Park ve Yeşil Alan
"ya artık yeter, bodrumu lağım suyu bastı. Artık bir şey yapın",Su ve Kanalizasyon
Okulun yanındaki sokakta sorun var; şoför durakta durmadan geçti.,Toplu Ulaşım
Rezalet. otobüs seferleri akşam çok seyrek. Bu kadarına da pes!,Toplu Ulaşım
"çöp kamyonu kaç kere söyledik yine mahalleye uğramıyor, ayrıca site girişinde çöpler birikti leş gibi kokuyor.",Çöp ve Temizlik
"Valla biktik, yesil alan bir aydir sulanmiyor cimler kurudu. Acil cozun sunu",Park ve Yeşil Alan
Yahu Okulun yanındaki sokakta sorun var; caddemizde başıboş köpekler her gün korku saçıyor.,Başıboş Hayvanlar
Ağaçlar budanmamış dallar sarkıyor. İlgili birime iletilmesini rica ederim.,Park ve Yeşil Alan
"Of ya, okul yolunda ışık yok çocuklar korkuyor",Sokak Aydınlatması
rezalet. sokağımızda temiz su şebekesi sürekli arızalanıyor,Su ve Kanalizasyon
"üst geçidin merdivenleri kırık tehlikeli, rezil olduk",Yol ve Kaldırım
"Yağmurda yol göle dönüyor su birikiyor, defalarca aradık sonuç yok. Konunun takip edilmesini istiyoruz",Yol ve Kaldırım
"Valla bıktık, çöp yakıyorlar mahalle dumana boğuldu.",Gürültü ve Çevre Kirliliği
"EGZOZ VE TOZDAN PENCERE AÇAMIYORUZ, DEFALARCA ARADIK SONUÇ YOK. ÇÖZÜLMESINI BEKLIYORUZ.",Gürültü ve Çevre Kirliliği
Caminin arka sokağında çöpler birikti leş gibi kokuyor.,Çöp ve Temizlik
Rezalet. bodrumu lağım suyu bastı,Su ve Kanalizasyon
açık alanda atık yakılıyor koku dayanılmaz.,Gürültü ve Çevre Kirliliği
"Ya artık yeter, bodrumu lağım suyu bastı, defalarca aradık sonuç yok. Çözülmesini bekliyoruz.",Su ve Kanalizasyon
"of ya, köpekler parkı kirletiyor temizlenmiyor. Bir an önce ilgilenilsin.",Park ve Yeşil Alan
"ya artık yeter, su borusu patlamış cadde sular altında. Acil çözün şunu!",Su ve Kanalizasyon
Karanlıkta gencler toplanıyor güvensiz. Ne zaman çözeceksiniz?,Sokak Aydınlatması
köşedeki bakkalin önünde yol çökmüş araçlar zarar görüyor.,Yol ve Kaldırım
Alt gecidin oraya sokak lambalari haftalardir yanmiyor. Ilgili birime iletilmesini rica ederim,Sokak Aydınlatması
"allah aşkına, köpekler çöpü dağıtıyor sabah berbat oluyor, ayrıca köpekler çöpü dağıtıyor sabah berbat oluyor.",Çöp ve Temizlik
Caddemizde yol çökmüş araçlar zarar görüyor. İlgili birime iletilmesini rica ederim.,Yol ve Kaldırım
yahu parkın çeşmesindennn su akmıyor.,Park ve Yeşil Alan
Köşedekii bakkalin önünde sorun var; çöp yakıyorlar mahalle dumana boğuldu,Gürültü ve Çevre Kirliliği
Düğün salonu bir aydır sesi sonuna kadar açıyor.,Gürültü ve Çevre Kirliliği
Metro cikisinda sorun var; site girisinde yol cokmus araclar zarar goruyor.,Yol ve Kaldırım
Karanlıkta gencler toplanıyor güvensiz. İlgili birime iletilmesini rica ederim.,Sokak Aydınlatması
metro çıkışında sorun var; çitlerr kırık park sokağa açılmış tehlikeli,Park ve Yeşil Alan
"ALLAH AŞKINA, CAMININ ARKA SOKAĞINDA INŞAAT KAÇ KERE SÖYLEDIK YINE GECE GEÇ SAATE KADAR ÇALIŞIYOR. BU KADARINA DA PES",Gürültü ve Çevre Kirliliği
TUVALET GERI TEPIYOR KANALZASYON DOLU.,Su ve Kanalizasyon
Rezalet. konteyner kırılmış çöpler etrafa saçılıyor.,Çöp ve Temizlik
"Ana cadde uzerinde köpekler peşimize takılıyor korkuyoruz, ayrıca kısırlaştırma yok hayvan sayısı çok arttı.",Başıboş Hayvanlar
"Biktik artik, bir hayvan kapana sikismis kurtaran lazim",Başıboş Hayvanlar
"Pes yani, Ara sokakta sorun var; köpekler çöpü dağıtıyor sabahh berbat oluyor.",Çöp ve Temizlik
Aşısız hayvanlar dolaşıyor tehlikeli. Çözülmesini bekliyoruz.,Başıboş Hayvanlar
karanlıkta gencler toplanıyor güvensiz. Bir an önce ilgilenilsin.,Sokak Aydınlatması
"valla bıktık, Mahallemizde sorun var; ana cadde uzerinde hurdacılar sabaha karşı gürültü yapıyor",Gürültü ve Çevre Kirliliği
okul onunde kopek surusu var veli tedirgin. Bir an once ilgilenilsin.,Başıboş Hayvanlar
"Ya artık yeter, kaydırak kırılmış paslı çocuk yaralanır.",Park ve Yeşil Alan
"of ya, ara sokakta hurdacılar sabaha karşı gürültü yapıyor.",Gürültü ve Çevre Kirliliği
Ara sokakta sorun var; okulun yanındaki sokakta yeşil alana izinsiz inşaat var.,Park ve Yeşil Alan
Rezalet. yeşil alan kaç kere söyledik yine sulanmıyor çimler kurudu.,Park ve Yeşil Alan
"Yahu kaldırım karanlık düşüp yaralandık, kimse ilgilenmiyor. İlgili ekip gönderilsin lütfen.",Sokak Aydınlatması
"Biktik artik, kar yaginca yollar tuzlanmadi buz tuttu. Vergimizi ne icin veriyoruz?",Yol ve Kaldırım
"OF YA, CAMININ ARKA SOKAĞINDA KANALIZASYON TAŞMIŞ PIS SU AKIYOR. İLGILI EKIP GÖNDERILSIN LÜTFEN",Su ve Kanalizasyon
Elektrik direği yana yatmış ışık da yok.,Sokak Aydınlatması
Barınağa götürülecek hayvanlar sokakta kalmış. Gereğinin yapılmasını rica ederim,Başıboş Hayvanlar
"su bir aydir kesik haber bile vermiyorlar, defalarca aradik sonuc yok. Artik bir sey yapin!",Su ve Kanalizasyon
"üst geçidin merdivenleri kırık tehlikei, vergimizi ödüyoruz ama hizmet yok",Yol ve Kaldırım
"YA ARTIK YETER, DIREKTEKI LAMBA ARIZALI GECE ÇOK TEHLIKELI. VERGIMIZI NE IÇIN VERIYORUZ?",Sokak Aydınlatması
Rezalet. cocuk parkının yanında başıboş köpekler her hafta korku saçıyor.,Başıboş Hayvanlar
"Of ya, barınağa götürülecek hayvanlar sokaka kalmış, ayrıca bir hayvan kapanaaa sıkışmış kurtaran lazım",Başıboş Hayvanlar
Kısırlaşırma yok hayvan sayısı çok arttı,Başıboş Hayvanlar
bizim mahallede mazgal kapağı yok açık duruyor. Ne zaman çözeceksiniz?,Yol ve Kaldırım
"Yeter ama, bordür taşları çıkmış ayağımız takılıyor.",Yol ve Kaldırım
"Of ya, sürü halinde köpekler çocuklara havlıyor.",Başıboş Hayvanlar
"Bakın, moloz ve atıklar kaç kere söyledik yine kaldırımda duruyor. Konunun takip edilmesini istiyoruz.",Çöp ve Temizlik
"Çocuk parkındaki salıncaklar kırık tehlikeli, çocuklar etkileniyor. Çözülmesini bekliyoruz.",Park ve Yeşil Alan
"Yahu park lambaları yanmıyor akşam kulanılmıyor, sağlığımız tehlikede.",Park ve Yeşil Alan
"Yahu köşedeki bakkalin önünde yol çökmüş araçlar zarar görüyor, ayrıca kaldırıma park ediyorlar yaya yürüyemiyor.",Yol ve Kaldırım
"Sürü halinde köpekler çocuklara havlıyor, yaşanmıyor artık. Konunun takip edilmesini istiyoruz",Başıboş Hayvanlar
"YETER AMA, MAHALLEMIZDE INŞAAT BIR AYDIR GECE GEÇ SAATE KADAR ÇALIŞIYOR.",Gürültü ve Çevre Kirliliği
"Of ya, geri dönüşüm kutuları aylardır boşaltılmıyor. Bir an önce ilgilenilsin.",Çöp ve Temizlik
"Her yağmurda evi su basıyor gider tıkalı, kimse umursamıyor. Şimdiden teşekkürler.",Su ve Kanalizasyon
